n,time
2,0.5816478729248047
3,0.9096293449401855
4,0.8414208889007568
5,1.084181785583496
6,1.178380012512207
7,1.3085854053497314
8,1.5372371673583984
9,2.1800360679626465
10,2.186691999435425
11,2.755805730819702
12,3.083008289337158
13,3.80305552482605
14,3.575761318206787
15,3.820099353790283
16,4.223191738128662
17,4.967730760574341
18,5.998282194137573
19,7.8395538330078125
20,8.231815576553345
21,6.583691835403442
22,6.978638410568237
23,8.055483341217041
24,9.491506099700928
25,11.374917030334473
